Epoch,Accuracy,Precision,Recall,F1,FPR,TP,TN,FP,FN,Loss
1,0.19327731092436976,0.13197948022215628,0.9223703703703704,0.23091758771604481,0.9169241793183752,3113,1855,20474,262,0.0017268687783465963
2,0.2255680049797697,0.1323012589528004,0.8811851851851852,0.23006111240040225,0.873527699404362,2974,2824,19505,401,0.0016533202664747513
3,0.26641767818238404,0.13365516588574944,0.8367407407407408,0.23049298073783872,0.8197859286130145,2824,4024,18305,551,0.0015856694050974984
1,0.4590725178960473,0.17210905672203072,0.7980238302818948,0.2831511651886987,0.5933162646543593,2746,9054,13209,695,0.0012723617847003633
2,0.48295985060690944,0.17424092081762255,0.7654751525719268,0.2838667959909473,0.560706104298612,2634,9780,12483,807,0.0012516943332639171
3,0.5209694989106753,0.17305424528301888,0.6823597791339727,0.27608912928449647,0.5039752054979113,2348,11043,11220,1093,0.0012265253027131764
1,0.5578120136943666,0.16925118169002404,0.602242549424609,0.2642413257379596,0.4489356934797222,2041,12297,10018,1348,0.0012099557935059942
2,0.603874883286648,0.16821334375305266,0.5081144880495722,0.2527520915896081,0.38158189558592875,1722,13800,8515,1667,0.0011877617174095726
3,0.6491985683162154,0.17179846046186145,0.43464148716435524,0.24625929950681266,0.31821644633654494,1473,15214,7101,1916,0.0011644486211520877
